# Matter power spectrum P(k) at redshift z=100
# for k=1.045e-05 to 106.861 h/Mpc,
# number of wavenumbers equal to 623
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.193572838529e-02       3.335118540199e+00 
       3.208414946714e-02       3.322118705052e+00 
       3.223303579609e-02       3.309108908492e+00 
       3.238239956191e-02       3.296087803657e+00 
       3.253225334243e-02       3.283067500448e+00 
       3.268261011904e-02       3.270027872748e+00 
       3.283348329301e-02       3.257000535629e+00 
       3.298488670259e-02       3.243951835370e+00 
       3.313683464103e-02       3.230907999542e+00 
       3.328934187547e-02       3.217859898979e+00 
       3.344242366689e-02       3.204811456418e+00 
       3.359609579103e-02       3.191754086328e+00 
       3.375037456053e-02       3.178695309428e+00 
       3.390527684814e-02       3.165652347583e+00 
       3.406082011128e-02       3.152591861648e+00 
       3.421702241793e-02       3.139535822438e+00 
       3.437390247395e-02       3.126492473621e+00 
       3.453147965192e-02       3.113438525373e+00 
       3.468977402169e-02       3.100392185315e+00 
       3.484880638259e-02       3.087347309573e+00 
       3.500859829758e-02       3.074303973810e+00 
       3.516917212940e-02       3.061267731083e+00 
       3.533055107886e-02       3.048233107154e+00 
       3.549275922540e-02       3.035200947754e+00 
       3.565582157023e-02       3.022167575270e+00 
       3.581976408199e-02       3.009147888879e+00 
       3.598461374536e-02       2.996127615692e+00 
       3.615039861271e-02       2.983119574215e+00 
       3.631714785906e-02       2.970107790126e+00 
       3.648489184058e-02       2.957099394849e+00 
       3.665366215692e-02       2.944110342706e+00 
       3.682349171774e-02       2.931117136272e+00 
       3.699441481367e-02       2.918129270921e+00 
       3.716646719210e-02       2.905148794690e+00 
       3.733968613823e-02       2.892173125372e+00 
       3.751411056177e-02       2.879197747361e+00 
       3.768978108986e-02       2.866239991932e+00 
       3.786674016657e-02       2.853273848849e+00 
       3.804503215979e-02       2.840307777948e+00 
       3.822470347586e-02       2.827363858212e+00 
       3.840580268301e-02       2.814417102598e+00 
       3.858838064404e-02       2.801457423701e+00 
       3.877249065931e-02       2.788517927600e+00 
       3.895818862096e-02       2.775578437448e+00 
       3.914553317940e-02       2.762639699819e+00 
       3.933458592328e-02       2.749698174871e+00 
       3.952541157417e-02       2.736753299710e+00 
       3.971807819759e-02       2.723820301007e+00 
       3.991265743180e-02       2.710888557336e+00 
       4.010922473646e-02       2.697938095906e+00 
       4.030785966288e-02       2.684999469799e+00 
       4.050864614847e-02       2.672050715354e+00 
       4.071167283779e-02       2.659098767175e+00 
       4.091703343321e-02       2.646138768570e+00 
       4.112482707841e-02       2.633184216057e+00 
       4.133515877846e-02       2.620199936187e+00 
       4.154813986079e-02       2.607219319019e+00 
       4.176388848168e-02       2.594221917652e+00 
       4.198253018382e-02       2.581215675713e+00 
       4.220419851120e-02       2.568190430458e+00 
       4.242903568833e-02       2.555158742782e+00 
       4.265719337197e-02       2.542105147704e+00 
       4.288883348483e-02       2.529019818649e+00 
       4.312412914181e-02       2.515936762154e+00 
       4.336326568147e-02       2.502801050918e+00 
       4.360644181685e-02       2.489645554398e+00 
       4.385387092265e-02       2.476468599964e+00 
       4.410578247799e-02       2.463244754110e+00 
       4.436242368764e-02       2.449999716948e+00 
       4.462406130828e-02       2.436705635839e+00 
       4.489098371107e-02       2.423376590675e+00 
       4.516350321751e-02       2.409995949093e+00 
       4.544195875207e-02       2.396558861214e+00 
       4.572671886360e-02       2.383065313780e+00 
       4.601818517708e-02       2.369518790307e+00 
       4.631679634960e-02       2.355885813145e+00 
       4.662303261929e-02       2.342210883086e+00 
       4.693742105388e-02       2.328440274541e+00 
       4.726054162823e-02       2.314583444038e+00 
       4.759303428806e-02       2.300638062516e+00 
       4.793560719149e-02       2.286587955535e+00 
       4.828904636352e-02       2.272424524810e+00 
       4.865422705274e-02       2.258141636107e+00 
       4.903212714816e-02       2.243730825985e+00 
       4.942384310017e-02       2.229166290795e+00 
       4.983060889990e-02       2.214436756232e+00 
       5.025381881014e-02       2.199563012276e+00 
       5.069505471927e-02       2.184481769117e+00 
       5.115611921608e-02       2.169177293356e+00 
       5.163907577182e-02       2.153622642396e+00 
       5.214629778177e-02       2.137792696893e+00 
       5.268052867832e-02       2.121660480332e+00 
       5.324495589638e-02       2.105175966110e+00 
       5.384330215613e-02       2.088291484335e+00 
       5.447993831049e-02       2.070944584651e+00 
       5.516002281028e-02       2.053062256832e+00 
       5.588967347556e-02       2.034561233480e+00 
       5.667617728526e-02       2.015306602645e+00 
       5.752824238763e-02       1.995157210412e+00 
       5.845629166292e-02       1.973913938433e+00 
       5.947278550584e-02       1.951323356981e+00 
       6.059253702404e-02       1.927042157298e+00 
       6.183293616966e-02       1.900612464217e+00 
       6.321391895944e-02       1.871429859916e+00 
       6.475739931141e-02       1.838708155100e+00 
       6.648575417647e-02       1.801438835945e+00 
       6.841893751845e-02       1.758439967162e+00 
       7.057014991713e-02       1.708468428142e+00 
       7.294096001121e-02       1.650507377503e+00 
       7.551806995251e-02       1.584164602970e+00 
       7.827420133877e-02       1.510064972997e+00 
       8.117356133227e-02       1.430000994610e+00 
       8.417927801560e-02       1.346723992195e+00 
       8.725923920168e-02       1.263457564839e+00 
       9.038865675803e-02       1.183359175272e+00 
       9.354994726216e-02       1.109075864628e+00 
       9.673132963228e-02       1.042492855483e+00 
       9.992519888886e-02       9.846461987288e-01 
       1.031267606933e-01       9.357573219526e-01 
       1.063330369207e-01       8.953492356928e-01 
       1.095421943607e-01       8.624012789010e-01 
       1.127531107498e-01       8.355088194241e-01 
       1.159651012776e-01       8.130415713800e-01 
       1.191777488189e-01       7.933056382379e-01 
       1.223907995083e-01       7.746870920655e-01 
       1.256040988568e-01       7.557943535825e-01 
       1.288175528007e-01       7.355680681704e-01 
       1.320311039975e-01       7.133608188379e-01 
       1.352447174182e-01       6.889609156495e-01 
       1.384583715953e-01       6.625629849537e-01 
       1.416720533079e-01       6.346924244769e-01 
       1.448857543556e-01       6.060977148568e-01 
       1.480994695979e-01       5.776284350424e-01 
       1.513131957646e-01       5.501237390964e-01 
       1.545269307318e-01       5.243142433895e-01 
       1.577406730825e-01       5.007672270594e-01 
       1.609544218378e-01       4.798343433454e-01 
       1.641681762942e-01       4.616434940898e-01 
       1.673819359230e-01       4.461303914420e-01 
       1.705957003091e-01       4.330456680114e-01 
       1.738094691134e-01       4.220086112153e-01 
       1.770232420486e-01       4.125452014949e-01 
       1.802370188648e-01       4.041459214588e-01 
       1.834507993398e-01       3.963269698132e-01 
       1.866645832730e-01       3.886728697387e-01 
       1.898783704814e-01       3.807186013737e-01 
       1.930921607962e-01       3.721835617417e-01 
       1.963059540615e-01       3.629171778029e-01 
       1.995197501323e-01       3.529065308744e-01 
       2.027335488731e-01       3.422651064503e-01 
       2.059473501575e-01       3.312028631252e-01 
       2.091611538671e-01       3.199822561581e-01 
       2.123749598908e-01       3.088830105230e-01 
       2.155887681241e-01       2.981578811925e-01 
       2.188025784691e-01       2.880098251190e-01 
       2.220163908331e-01       2.785971452933e-01 
       2.252302051293e-01       2.700148620169e-01 
       2.284440212754e-01       2.623024553677e-01 
       2.316578391940e-01       2.554505264125e-01 
       2.348716588117e-01       2.493831970570e-01 
       2.380854800593e-01       2.440021646450e-01 
       2.412993028713e-01       2.391621254122e-01 
       2.445131271855e-01       2.346975730993e-01 
       2.477269529431e-01       2.304457220399e-01 
       2.509407800883e-01       2.262608853097e-01 
       2.541546085682e-01       2.220201527174e-01 
       2.573684383324e-01       2.176449394594e-01 
       2.605822693330e-01       2.130917597620e-01 
       2.637961015247e-01       2.083521881789e-01 
       2.670099348642e-01       2.034482372161e-01 
       2.702237693103e-01       1.984259816922e-01 
       2.734376048237e-01       1.933543556772e-01 
       2.766514413671e-01       1.883129637090e-01 
       2.798652789047e-01       1.833836939218e-01 
       2.830791174024e-01       1.786445907290e-01 
       2.862929568279e-01       1.741585177255e-01 
       2.895067971499e-01       1.699664070222e-01 
       2.927206383389e-01       1.660853966603e-01 
       2.959344803664e-01       1.625095574906e-01 
       2.991483232052e-01       1.592144218915e-01 
       3.023621668294e-01       1.561631366384e-01 
       3.055760112140e-01       1.533120077116e-01 
       3.087898563352e-01       1.506137594435e-01 
       3.120037021700e-01       1.480218388658e-01 
       3.152175486966e-01       1.454914937058e-01 
       3.184313958939e-01       1.429830659183e-01 
       3.216452437417e-01       1.404645857499e-01 
       3.248590922206e-01       1.379158653692e-01 
       3.280729413120e-01       1.353290628319e-01 
       3.312867909978e-01       1.327090791189e-01 
       3.345006412610e-01       1.300707268496e-01 
       3.377144920850e-01       1.274360952202e-01 
       3.409283434538e-01       1.248289328079e-01 
       3.441421953521e-01       1.222722100401e-01 
       3.473560477652e-01       1.197859915223e-01 
       3.505699006787e-01       1.173876002032e-01 
       3.537837540791e-01       1.150891678379e-01 
       3.569976079530e-01       1.128996313201e-01 
       3.602114622879e-01       1.108224242990e-01 
       3.634253170713e-01       1.088554020116e-01 
       3.666391722915e-01       1.069893321078e-01 
       3.698530279369e-01       1.052108084172e-01 
       3.730668839967e-01       1.035029476307e-01 
       3.762807404600e-01       1.018483830358e-01 
       3.794945973167e-01       1.002314154659e-01 
       3.827084545567e-01       9.863976295955e-02 
       3.859223121705e-01       9.706479886896e-02 
       3.891361701487e-01       9.550123662461e-02 
       3.923500284823e-01       9.394615391299e-02 
       3.955638871627e-01       9.239869767340e-02 
       3.987777461815e-01       9.086025353549e-02 
       4.019916055304e-01       8.933387822148e-02 
       4.052054652017e-01       8.782504136346e-02 
       4.084193251876e-01       8.634039524038e-02 
       4.116331854808e-01       8.488708319334e-02 
       4.148470460740e-01       8.347140823008e-02 
       4.180609069605e-01       8.209746935517e-02 
       4.212747681333e-01       8.076722246508e-02 
       4.244886295860e-01       7.948074915146e-02 
       4.277024913123e-01       7.823646716934e-02 
       4.309163533060e-01       7.703243711715e-02 
       4.341302155611e-01       7.586628428728e-02 
       4.373440780719e-01       7.473553796722e-02 
       4.405579408327e-01       7.363697473363e-02 
       4.437718038381e-01       7.256661740250e-02 
       4.469856670828e-01       7.151982006058e-02 
       4.501995305617e-01       7.049190702859e-02 
       4.534133942698e-01       6.947899495465e-02 
       4.566272582021e-01       6.847850044962e-02 
       4.598411223540e-01       6.748937278339e-02 
       4.630549867210e-01       6.651180927833e-02 
       4.662688512984e-01       6.554659104698e-02 
       4.694827160821e-01       6.459471708460e-02 
       4.726965810677e-01       6.365712772227e-02 
       4.759104462512e-01       6.273480343000e-02 
       4.791243116286e-01       6.182878313491e-02 
       4.823381771960e-01       6.094078901299e-02 
       4.855520429496e-01       6.007254442018e-02 
       4.887659088857e-01       5.922564341407e-02 
       4.919797750007e-01       5.840084981415e-02 
       4.951936412912e-01       5.759819666019e-02 
       4.984075077536e-01       5.681642803008e-02 
       5.016213743848e-01       5.605374690334e-02 
       5.048352411815e-01       5.530812072844e-02 
       5.080491081405e-01       5.457777663221e-02 
       5.112629752588e-01       5.386136483323e-02 
       5.144768425333e-01       5.315789585924e-02 
       5.176907099612e-01       5.246646137484e-02 
       5.209045775396e-01       5.178609057235e-02 
       5.241184452657e-01       5.111568119674e-02 
       5.273323131368e-01       5.045440270971e-02 
       5.305461811503e-01       4.980181812445e-02 
       5.337600493036e-01       4.915808467645e-02 
       5.369739175941e-01       4.852386598254e-02 
       5.401877860195e-01       4.790013886954e-02 
       5.434016545772e-01       4.728760081986e-02 
       5.466155232651e-01       4.668663545954e-02 
